Palavra,Sinônimos
AFOITO,"desafrontado , temerário , confiado, arrojado , atrevido , inconsiderado , arriscado , imponderado , decidido , determinado, ousado , audaz , audacioso , destemido, intemente , impávido , corajoso , animoso, valoroso , valente , impertérrito , intré-pido, heroico , resoluto , bravo , arrebatado , impetuoso , denodado , ardido , veemente , precipitado , violento , intrêmulo , imperturbável , impassível , afoiteza , temeridade , confiança , arrojo , atrevimento , inconsideração , decisão , resolução , determinação , ousadia , audácia , destemor , impavidez , coragem , ânimo , valor , valentia , intrepidez , heroísmo , heroicidade , bravura , arrebatamento , ímpeto , impetuosidade , denodo , ardimento , veemência , precipitação , violência , imperturbabilidade , impassibilidade"
AFRONTA,"agravo , ofensa , injúria , ultraje , insulto , avania , vexame , zombaria , mofa , irrisão , chacota , sátira , apodo , gracejo , remoque , troça , chasco , escárnio"
AFRONTAR,"arrostar , encarar"
AGONIZAR,estertorar
AGRADECIDO,"grato , reconhecido , obrigado, penhorado , cativo"
AGRESTE,"campestre , campesino , rústico , silvestre , selvático , selvagem"
AGRÍCOLA,"agrário , rural , rústico"
AGRICULTURA,"agronomia , agricultor , agrônomo , cultivador , lavrador , colono"
AGUARDAR,esperar
AGUAR,"banhar , molhar , irrigar , regar , alagar , inundar"
AGUENTAR,"suster , suspender , sustentar , amparar , apoiar , escorar , especar , estear"
AIO,"preceptor , mestre , amo, instrutor , institutor , educador , professor , lente , catedrático , pedagogo"
AGIOTA,"usurário , onzeneiro"
AGITAÇÃO,"insurreição , revolta , rebelião , levantamento , motim , arruaça , sedição , revolução , pronunciamento , convulsão , comoção , choque , abalo , sublevação , conflagração , cataclismo"
AGITAR,"ventilar , aventar , discutir , debater, disputar , tratar , controverter"
AJUIZADO,"sensato , sisudo , assisado , sábio, prudente , judicioso , cordato , grave , sério, circunspeto , ponderado , discreto , avisado"
ALARGAR,"ampliar , dilatar"
ALARIDO,"gritaria , celeuma , berreiro , vozeria, clamor , bramido , algazarra , tumulto , turba , alvoroço , barulho , bulha , arruído , rumor , borborinho , sussurro , murmúrio , murmurinho"
ALARME,"temor , medo , susto , terror , espanto , pânico , pavor , receio , assombro , assombramento , sobressalto"
ALBERGARIA,"albergue , guarida , estalagem, pousada , hospedaria , hotel , pensão"
ALBESCENTE,"alvacento , alvadio , esbranquiçado"
ALCANÇAR,"chegar , atingir , tocar"
ALCANCE,"desfalque , irregularidade"
ALCANTIL,"despenhadeiro , ribanceira , grota , itaimbé , precipício , escarpa , fraga , riba, ribança"
ALÇAR,"erguer , elevar , levantar"
ALCATEIA,"bando , multidão , enxame , turba , turma , grupo , magote , rancho , quadrilha , legião , malta , súcia , corja , matula , caterva , matilha , horda , troço , troça , chusma"
ALCATIFA,"alfombra , tapete , tapeçaria"
ALCOICE,"lupanar , prostíbulo , bordel , sentina"
ALCUNHA,"apelido , nome , sobrenome , agnome , cognome , prenome , antonomásia , apodo"
ALEGAR,citar
ALEGRIA,"ledice , júbilo , exultação , regozijo, contentamento , jovialidade , alacridade , satisfação , alegre , ledo, jubiloso , exultante , contente , jovial , álacre , satisfeito"
ALEIVE,"aleivosia , calúnia , traição , , perfídia , deslealdade , infidelidade , falsidade"
ALENTADO,"vigoroso , forte, robusto , valente , esforçado , reforçado , possante , pujante , potente , alento , vigor , força, fortaleza , robustez , valentia , esforço, reforço , possança , pujança , potência"
ALFANJE,"cimitarra , espada , gládio , terçado, durindana , montante , chanfalho , sabre"
ALFIM,"enfim , finalmente , afinal , por fim"
ALGOZ,"carrasco , verdugo , carnífice , sacrificador , executor"
ALGUNS,certos
ALHEIO,"de outrem , estranho"
ALHURES,algures
ALI,"lá, acolá , aí, além"
ALIANÇA,"união , casamento , consórcio , matrimônio , núpcias , bodas , noivado"
ALICERCE,"base , fundamento , embasamento , peanha , pedestal"
ALICIAR,"engodar , seduzir , subornar , peitar, corromper"
ALIENAR,"vender , trocar , permutar , traficar, cambiar , escambiar"
ALIMENTAR,"nutrir , sustentar , manter"
ALIMPA,"monda , poda"
ALISTAR,"relacionar , arrolar , catalogar , inventariar"
ALMA,"espírito , ânimo , eu, coração"
ALMANAQUE,"calendário , folhinha , repertório , anuário , guia , indicador , vademeco , roteiro , manual , prontuário"
ALMEJAR,"aspirar , desejar , ambicionar , apetecer , cobiçar , pretender"
ALMO,"nutriente , nutritivo , criador"
ALOCUÇÃO,"proclamação , arenga , discurso , fala , prática , arrazoamento , oração, sermão , homilia , panegírico , prédica , preleção , conferência , elogio"
ALPENDRE,"alpendrada , telheiro , pórtico, adro , átrio , vestíbulo"
ALTANERIA,"altivez , sobranceria , orgulho, soberba , empáfia , impostura , fatuidade"
ALTITUDE,altura
ALTEZA,altura
ALTERAR,"mudar , variar , modificar , reformar , transformar , renovar , remodelar , reorganizar , reconstruir , reconstituir , refazer, retificar , corrigir , emendar"
ALUCINAR,"ofuscar , confundir , cegar , deslumbrar , fascinar"
ALUCINADO,"louco , perdido , cego, demente , doido , desvairado , delirante , insano, insensato , aturdido , atordoado , estonteado"
ALUDIR,"referir , indicar , expor , enunciar, mencionar"
ALUSIVO,"referente , relativo , concernente, respetivo"
ALUGAR,"arrendar , alquilar , locar, sublocar"
ALUNO,"discípulo , educando"
ÂMAGO,"imo, profundeza , recesso , interior , íntimo , centro , meio, seio, cerne , coração , medula , miolo"
AMAINAR,"afrouxar , enfraquecer , abater, abrandar , diminuir , sossegar , acalmar , serenar , suavizar , tranquilizar , atenuar"
AMANSAR,"domar , domesticar"
AMANTE,"concubina , barregã , amásia , amiga , manceba , comborça"
AMARROTAR,"marlotar , amarfanhar , machucar , amassar , enrugar , arrugar , franzir , frisar , riçar , ratinar , encrespar , embrulhar , crispar, arrepiar , encaracolar , encarapinhar , encarquilhar"
AMBIÇÃO,"cobiça , avareza , avidez , cupidez, ganância , gana"
AMBÍGUO,"anfibológico , impreciso , confuso, equívoco , duvidoso , dúbio , incerto , vário , ambiguidade , anfibologia , confusão , equívoco , dúvida , incerteza"
ÂMBITO,"área, recinto"
AMBOS,"os dois , um e outro"
AMBULANTE,"errante , vagabundo , teatino, peregrino , nômade , perdido , vagante , passeante , vadio , tunante , airado , vaganau"
AMEAÇAR,"intimidar , amedrontar , atemorizar , assustar"
AMENO,"agradável , aprazível , delicioso , deleitoso , deleitável , grato"
AMOLGAR,"abolar , amossar , amassar , deformar , embotar , esmagar"
AMONTOAR,"acumular , ajuntar , reunir , arrumar , emaçar"
AMOSTRA,"mostra , prova , sinal, indício , demonstração"
AMPLIDÃO,"amplitude , vastidão , grandeza, extensão , imensidade , imensidão , âmbito"
ANACORETA,"eremita , solitário , cenobita , monge , asceta , religioso , fanático , frade"
ANARQUIA,"desordem , desgoverno , desconcerto , desregramento , discórdia , cizânia , caos, confusão , balbúrdia"
ANATEMATIZAR,"excomungar , amaldiçoar, anátema , excomunhão , maldição"
ANATOMIA,"dissecção , autópsia"
ANCIÃO,velho
ANSIEDADE,ânsia
ANDAÇO,"contágio , epidemia , endemia , peste"
ANDAR,"caminhar , ir, marchar , seguir , passar , transitar"
ANDRAJOS,"trapos , farrapos , molambos"
ANEXAR,"anexação , anexado , anexo , incorporar , incorporação , incorporado"
ANEXO,"dependente , unido"
ANGARIAR,"aliciar , recrutar"
ANGU,"pirão , mingau , mexido , revirado , papa, escaldado"
ANELO,"desejo , aspiração , anseio , vontade"
ANOITECER,enoitecer
ANOSO,"velho , idoso , secular , antigo"
ANOTAR,"anotações , notas , comentar , comentário , comento , interpretar , interpretação , explicar , explicação , explanar , explanação , apostilar , apostilas , cotas , ob-servações , glosas"
ANUVIAR,"nublar , escurecer , obscurecer, obcecar , ensombrar , carregar , toldar , fechar , entenebrecer"
ANTECEDENTE,"precedente , anterior , prévio"
ANTECEDENTES,precedentes
ANTECESSOR,predecessor
ANTECESSORES,"antepassados , ascendentes , pais, avós, antigos , maiores , avoengos"
ANTECIPADAMENTE,"adiantadamente , prematuramente"
ANTEMURAL,"muro , muralha"
ANTIPATIA,"ódio , aversão , repugnância , quizila , asca, asco, zanga , rancor , gana , horror"
ANTIQUADO,"obsoleto , desusado , arcaico"
ANTÍTESE,"contraste , antífrase , antinomia, antilogia , contradição , contrariedade , oposição"
ANTRO,"caverna , furna , gruta , lapa, cova , buraco , toca, subterrâneo"
APARATO,"pompa , sumptuosidade , magnificência , grandeza , majestade , ostentação , esplendor , alardo , fausto , luxo"
APARECIMENTO,aparição
APARÊNCIA,"ar , exterior , exterioridade, visos , mostra , aspeto , semblante"
APEDREJAR,lapidar
APELAÇÃO,"agravo , recurso"
APENAS,"só , exclusivamente"
APÊNDICE,suplemento
APERTADO,estreito
APÓCRIFO,"suposto , pretenso , fictício , fabuloso , falso"
APOLOGIA,"defesa , justificação , elogio , panegírico"
APOSENTAR,"reformar , jubilar"
APÓSTOLO,"missionário , evangelizador , propagandista , anunciador , pregoeiro , precursor , núncio , mensageiro , emissário , enviado"
APOTEOSE,deificação – Sobre estas duas palavras escreve Lacerda: “ Apoteose era a cerimônia mediante a qual era alguém posto no número dos deuses
APREÇO,"estima , consideraç ão, conta"
APRESAR,"prender , arrestar , apreender , capturar , apanhar , segurar , deter"
APRISCO,"redil , curral , mangueira"
APROFUNDAR,profundar
APTIDÃO,"disposição , inclinação , propensão, vocação , talento , capacidade , idoneidade, habilidade , jeito , gosto"
AQUI,cá
ARDIL,"estratagema , logro , arteirice , astúcia, cilada , emboscada , armadilha"
ARMADA,"esquadra , esquadrilha , frota"
ARMISTÍCIO,"suspensão de armas , tréguas"
ARRANCAR,"tirar, sacar , extrair , arrebatar"
ARREPENDIMENTO,"remorso , pesar , contrição , atrição , compunção , penitência"
E,"no entanto, o uso autoriza o emprego desta palavra tratando-se de qualquer substância que dá perfume"
ARROIO,"regueiro , regato , ribeiro , ribeira , rio, riacho , ribeirão , córrego , torrente"
ARTE,ciência
